iter	Passed	Remaining
0	3	3033
1	5	2548
2	7	2350
3	9	2282
4	11	2211
5	12	2116
6	14	2065
7	17	2132
8	19	2127
9	21	2122
10	23	2110
11	25	2094
12	27	2082
13	29	2081
14	31	2099
15	34	2105
16	36	2091
17	38	2079
18	40	2073
19	42	2065
20	44	2070
21	47	2094
22	48	2080
23	50	2070
24	52	2057
25	54	2046
26	56	2035
27	58	2016
28	60	2010
29	62	2008
30	64	2002
31	66	1998
32	68	1999
33	69	1986
34	71	1977
35	73	1971
36	75	1963
37	77	1960
38	80	1980
39	82	1974
40	85	1993
41	88	2007
42	90	2006
43	92	2003
44	94	2004
45	96	2001
46	98	2000
47	100	1996
48	102	1987
49	104	1985
50	106	1978
51	107	1965
52	109	1964
53	112	1964
54	114	1962
55	116	1962
56	118	1961
57	120	1955
58	122	1949
59	124	1943
60	126	1945
61	128	1940
62	130	1943
63	132	1940
64	134	1936
65	136	1929
66	138	1925
67	140	1921
68	142	1919
69	144	1916
70	146	1915
71	148	1911
72	150	1911
73	152	1908
74	154	1900
75	156	1898
76	158	1900
77	160	1899
78	162	1897
79	164	1892
80	166	1889
81	168	1886
82	170	1883
83	172	1883
84	174	1882
85	177	1882
86	179	1880
87	181	1879
88	183	1875
89	185	1870
90	187	1869
91	189	1867
92	191	1866
93	193	1866
94	195	1865
95	197	1863
96	199	1860
97	201	1856
98	204	1859
99	206	1858
100	208	1857
101	210	1855
102	212	1854
103	214	1847
104	216	1845
105	218	1843
106	220	1840
107	222	1839
108	224	1833
109	226	1832
110	228	1829
111	230	1824
112	231	1820
113	233	1817
114	236	1817
115	238	1815
116	240	1813
117	242	1809
118	243	1805
119	245	1801
120	247	1797
121	249	1792
122	251	1791
123	253	1787
124	255	1786
125	257	1785
126	259	1782
127	261	1778
128	262	1775
129	265	1774
130	267	1774
131	269	1772
132	271	1771
133	273	1768
134	275	1765
135	277	1763
136	279	1762
137	283	1767
138	285	1767
139	287	1766
140	288	1760
141	290	1757
142	292	1753
143	294	1750
144	296	1746
145	298	1745
146	300	1742
147	302	1739
148	303	1735
149	305	1731
150	307	1727
151	309	1725
152	311	1721
153	313	1719
154	315	1717
155	317	1715
156	318	1712
157	320	1709
158	322	1706
159	324	1703
160	326	1699
161	328	1697
162	330	1695
163	332	1692
164	333	1689
165	335	1687
166	338	1686
167	340	1684
168	342	1682
169	344	1681
170	346	1681
171	348	1678
172	350	1675
173	352	1671
174	354	1669
175	355	1666
176	357	1663
177	359	1660
178	361	1657
179	363	1654
180	364	1651
181	366	1648
182	368	1645
183	370	1642
184	372	1639
185	374	1637
186	375	1634
187	377	1631
188	379	1628
189	381	1624
190	382	1620
191	384	1617
192	386	1614
193	387	1611
194	389	1608
195	391	1606
196	393	1604
197	395	1601
198	397	1598
199	398	1595
200	400	1592
201	402	1589
202	404	1587
203	405	1584
204	407	1581
205	409	1579
206	411	1578
207	413	1575
208	415	1573
209	417	1570
210	419	1567
211	420	1564
212	422	1562
213	424	1560
214	426	1557
215	428	1554
216	430	1552
217	431	1549
218	433	1547
219	435	1544
220	437	1541
221	439	1539
222	441	1537
223	443	1536
224	445	1535
225	447	1533
226	449	1530
227	451	1528
