iter	RMSE
0	1.05426277
1	1.039171908
2	1.026985283
3	1.015976478
4	1.0062136
5	0.9973057622
6	0.9889433836
7	0.9820775221
8	0.9747837933
9	0.9683309893
10	0.9626437275
11	0.9573866444
12	0.9523244177
13	0.9478544124
14	0.9438689291
15	0.9398938677
16	0.9366106502
17	0.9335725915
18	0.930503073
19	0.9274836096
20	0.9248572373
21	0.9220796369
22	0.9194607489
23	0.916920109
24	0.9143894152
25	0.9123414858
26	0.9102860056
27	0.9083472461
28	0.9066504107
29	0.9046990161
30	0.9032124822
31	0.901809276
32	0.9004722656
33	0.8988883431
34	0.897760549
35	0.8965694438
36	0.8953803558
37	0.8943243224
38	0.8932421582
39	0.8922231389
40	0.8909762994
41	0.8901370132
42	0.8892134341
43	0.8883684629
44	0.8875690144
45	0.8867759934
46	0.8860313356
47	0.8850524504
48	0.8843696904
49	0.8835284304
50	0.8827664312
51	0.8821118244
52	0.8812218286
53	0.8805147332
54	0.8798917301
55	0.8793325676
56	0.8788156169
57	0.8783897731
58	0.8779060118
59	0.8775072379
60	0.8770657985
61	0.8764486792
62	0.8759843617
63	0.8755339011
64	0.8752133385
65	0.8748800465
66	0.8744341608
67	0.8737759267
68	0.8732207215
69	0.8728338799
70	0.8725321679
71	0.8722465202
72	0.8719513505
73	0.8714917697
74	0.8711098486
75	0.8707547018
76	0.8702103553
77	0.8699603078
78	0.8697275513
79	0.8694267689
80	0.8691711753
81	0.8688371872
82	0.8683192791
83	0.8681172124
84	0.867928253
85	0.867708137
86	0.8675095542
87	0.8672995592
88	0.8671264945
89	0.8669195619
90	0.8667303367
91	0.8665093948
92	0.8663201657
93	0.8660478535
94	0.8657437695
95	0.8653977838
96	0.8651863762
97	0.8649352901
98	0.8645438861
99	0.8643651764
100	0.8639760327
101	0.8638386154
102	0.8636590815
103	0.8634688581
104	0.8633077257
105	0.863178145
106	0.8630113824
107	0.8628960959
108	0.8626789509
109	0.8625431941
110	0.8623245963
111	0.8621860728
112	0.861970739
113	0.8617389101
114	0.8616016811
115	0.8614792765
116	0.8613242245
117	0.8611854274
118	0.8610587688
119	0.8608547389
120	0.8605756322
121	0.8603326383
122	0.8601788782
123	0.859976989
124	0.8597978823
125	0.8596514613
126	0.859468904
127	0.8593411094
128	0.8591564488
129	0.8589492805
130	0.8587963406
131	0.858603451
132	0.8584894905
133	0.8583152487
134	0.8580727902
135	0.8579270612
136	0.8577519665
137	0.857573715
138	0.857384603
139	0.8571927065
140	0.8570940971
141	0.8569606281
142	0.8567693155
143	0.8566649516
144	0.8565345493
145	0.8563656149
146	0.8561494566
147	0.8559042582
148	0.8557490426
149	0.8556719713
150	0.8555298341
151	0.8553724796
152	0.8552424611
153	0.8550265807
154	0.8548442916
155	0.8547081897
156	0.8546131987
157	0.8544721782
158	0.8543192064
159	0.8542042439
160	0.8540688913
161	0.8539219126
162	0.8537719423
163	0.8536611726
164	0.8535610536
165	0.8535111942
166	0.8534118349
167	0.8532736429
168	0.853156752
169	0.8530052664
170	0.8528258826
171	0.8527190099
172	0.8525879485
173	0.8524739022
174	0.8523374979
175	0.8521894765
176	0.8521118972
177	0.851960486
178	0.8518676994
179	0.8517903489
180	0.8516893528
181	0.851571981
182	0.8514381323
183	0.8513039565
184	0.8511856687
185	0.8510603253
186	0.8509259884
187	0.8508159538
188	0.8506833264
189	0.8505456461
190	0.8504149026
191	0.8503445636
192	0.8501953065
193	0.8501050523
194	0.8500087803
195	0.8499344701
196	0.8498248725
197	0.8496927123
198	0.8495990544
199	0.8495360933
200	0.8494682777
201	0.8493154158
202	0.8492136833
203	0.8491098033
204	0.8489913079
205	0.8488948663
206	0.8488253121
207	0.8487115853
208	0.8486093147
209	0.8485139473
210	0.8484146695
211	0.8483799992
212	0.8483170853
213	0.8482780247
214	0.848186144
215	0.8480734788
216	0.8480062007
217	0.8479327247
218	0.8478479578
219	0.8477388663
220	0.8476422973
221	0.847565679
222	0.8474651559
223	0.847333281
224	0.847200903
225	0.8471053452
226	0.8470298357
227	0.8469641321
228	0.8468310866
229	0.8467680767
230	0.8466946682
231	0.846589288
232	0.8464775311
233	0.8464042342
234	0.846314492
235	0.8462117922
236	0.8461092111
237	0.8459875578
238	0.8458350061
239	0.8457669809
240	0.845691855
241	0.8455929128
242	0.8454689899
243	0.8453814958
244	0.8452310685
245	0.845171557
246	0.8450984704
247	0.8450232132
248	0.8448384392
249	0.8447466303
250	0.8446575038
251	0.844550503
252	0.8444567629
253	0.8443613479
254	0.8442956735
255	0.8442192009
256	0.8441464396
257	0.8440747106
258	0.8440180955
259	0.8438908939
260	0.8437727278
261	0.843669155
262	0.8435513494
263	0.8434675041
264	0.8433098084
265	0.8432203163
266	0.8431450709
267	0.8430552835
268	0.8429894786
269	0.8429504143
270	0.8428538318
271	0.8427453406
272	0.8426254025
273	0.842563867
274	0.8425283164
275	0.8424812424
276	0.8423604607
277	0.8422589708
278	0.8422103047
279	0.8421194392
280	0.8420568131
281	0.8419957767
282	0.8419184509
283	0.8418051413
284	0.8417205058
285	0.8416577643
286	0.8415611443
287	0.8414329245
288	0.841311104
289	0.8412797366
290	0.8412072809
291	0.841126006
292	0.8410440952
293	0.8409630287
294	0.8408777753
295	0.8408133808
296	0.840769401
297	0.8407116114
298	0.8406287054
299	0.8405687391
300	0.8405129423
301	0.8404397368
302	0.8403469619
303	0.8402962207
304	0.8402165483
305	0.8401467944
306	0.8400362074
307	0.8399707879
308	0.8398935229
309	0.8398269909
310	0.8397455377
311	0.8396659568
312	0.8395848947
313	0.8395050726
314	0.8394461077
315	0.8393772406
316	0.8393193525
317	0.8392223155
318	0.8391361828
319	0.8390501884
320	0.8389681443
321	0.8388754517
322	0.8387729142
323	0.8386896045
324	0.8386337694
325	0.838546775
326	0.8384865034
327	0.8384138409
328	0.8383584183
329	0.8382844414
330	0.8382054866
331	0.8381298552
332	0.8380627805
333	0.8380328457
334	0.8379551375
335	0.8378937716
336	0.8377835416
337	0.8377022934
338	0.8376347788
339	0.8375507753
340	0.837467128
341	0.8374151189
342	0.8373263046
343	0.8372930039
344	0.8372119204
345	0.8371494626
346	0.8370597974
347	0.8369842763
348	0.8369275024
349	0.8368058656
350	0.8367288489
351	0.8366708402
352	0.8365722981
353	0.8365206492
354	0.8364483521
355	0.8363728974
356	0.8362915655
357	0.8362196238
358	0.8361838711
359	0.8361022965
360	0.8360593054
361	0.8359722972
362	0.8359411654
363	0.8358552703
364	0.8357813401
365	0.8357016358
366	0.8356374505
367	0.8355811643
368	0.8354906208
369	0.8354209469
370	0.8353705175
371	0.8352827304
372	0.8351890181
373	0.8350950062
374	0.83502854
375	0.8349220648
376	0.834855867
377	0.8347766846
378	0.8346810219
379	0.8346089499
380	0.8345596052
381	0.8344577292
382	0.8343946455
383	0.8343372728
384	0.8342362133
385	0.8342067514
386	0.8341346503
387	0.8340751051
388	0.8340086996
389	0.8339556048
390	0.8338827907
391	0.8338052949
392	0.8337375226
393	0.8336821033
394	0.8336247813
395	0.8335441693
396	0.8334480261
397	0.8334020081
398	0.8333203808
399	0.8332915114
