iter	Passed	Remaining
0	95	38231
1	174	34693
2	275	36404
3	377	37365
4	466	36887
5	543	35690
6	635	35651
7	720	35318
8	811	35242
9	904	35283
10	989	34989
11	1060	34288
12	1154	34369
13	1232	33971
14	1334	34261
15	1431	34357
16	1520	34266
17	1599	33946
18	1691	33913
19	1784	33911
20	1883	34001
21	1980	34035
22	2061	33796
23	2132	33402
24	2239	33586
25	2327	33476
26	2401	33174
27	2498	33191
28	2581	33027
29	2666	32889
30	2735	32561
31	2825	32490
32	2906	32322
33	2993	32224
34	3070	32017
35	3160	31961
36	3252	31910
37	3331	31738
38	3420	31657
39	3523	31707
40	3625	31744
41	3693	31480
42	3782	31400
43	3854	31182
44	3926	30975
45	4012	30875
46	4096	30769
47	4174	30612
48	4271	30596
49	4338	30368
50	4410	30184
51	4492	30063
52	4582	29999
53	4651	29802
54	4733	29694
55	4820	29614
56	4904	29513
57	4980	29368
58	5046	29168
59	5117	28998
60	5198	28890
61	5274	28753
62	5354	28642
63	5440	28561
64	5528	28493
65	5606	28370
66	5683	28249
67	5764	28142
68	5842	28025
69	5911	27866
70	6002	27813
71	6073	27669
72	6168	27632
73	6253	27550
74	6333	27444
75	6415	27350
76	6511	27313
77	6582	27173
78	6658	27053
79	6755	27023
80	6839	26935
81	6915	26818
82	7004	26750
83	7083	26649
84	7173	26582
85	7252	26478
86	7331	26376
87	7411	26277
88	7510	26245
89	7593	26156
90	7686	26099
91	7771	26018
92	7864	25962
93	7955	25898
94	8050	25846
95	8149	25807
96	8258	25798
97	8357	25754
98	8458	25717
99	8552	25657
100	8648	25602
101	8732	25513
102	8810	25405
103	8898	25325
104	8987	25251
105	9073	25165
106	9155	25071
107	9249	25007
108	9323	24891
109	9391	24759
110	9471	24661
111	9536	24523
112	9622	24439
113	9695	24323
114	9766	24204
115	9841	24094
116	9914	23980
117	9986	23865
118	10064	23765
119	10151	23687
120	10245	23624
121	10321	23520
122	10400	23423
123	10491	23351
124	10568	23250
125	10643	23145
126	10716	23037
127	10797	22945
128	10890	22879
129	10959	22762
130	11042	22674
131	11126	22590
132	11199	22482
133	11265	22363
134	11355	22290
135	11445	22217
136	11537	22147
137	11617	22056
138	11707	21983
139	11786	21888
140	11857	21781
141	11925	21666
142	11995	21558
143	12077	21470
144	12162	21389
145	12236	21287
146	12322	21208
147	12402	21118
148	12495	21049
149	12568	20947
150	12652	20864
151	12741	20788
152	12823	20701
153	12916	20633
154	13007	20560
155	13092	20477
156	13164	20375
157	13256	20304
158	13344	20226
159	13413	20119
160	13491	20027
161	13568	19934
162	13645	19839
163	13723	19747
164	13800	19655
165	13864	19543
166	13946	19458
167	14024	19367
168	14093	19264
169	14182	19187
170	14275	19117
171	14342	19011
172	14416	18915
173	14496	18828
174	14585	18752
175	14676	18679
176	14755	18590
177	14836	18504
178	14917	18418
179	14996	18328
180	15063	18225
181	15151	18148
182	15237	18068
183	15305	17967
184	15404	17902
185	15487	17818
186	15565	17729
187	15644	17641
188	15727	17557
189	15816	17481
190	15894	17392
191	15968	17298
192	16043	17207
193	16124	17122
194	16211	17042
195	16279	16943
196	16345	16843
197	16419	16750
198	16498	16664
199	16559	16559
200	16640	16474
201	16743	16411
202	16834	16337
203	16906	16243
204	16980	16152
205	17070	16076
206	17153	15993
207	17235	15909
208	17319	15827
209	17396	15739
210	17477	15655
211	17542	15556
212	17611	15461
213	17683	15369
214	17763	15285
215	17842	15199
216	17939	15128
217	18015	15040
218	18088	14950
219	18165	14862
220	18247	14779
221	18318	14688
222	18406	14609
223	18476	14516
224	18569	14443
225	18637	14349
226	18719	14266
227	18785	14171
228	18857	14081
229	18925	13988
230	19006	13905
231	19081	13817
232	19187	13752
233	19258	13661
234	19335	13576
235	19406	13486
236	19481	13398
237	19562	13315
238	19645	13234
239	19721	13147
240	19800	13063
241	19879	12979
242	19955	12893
243	20025	12803
244	20112	12724
245	20198	12644
246	20274	12558
247	20347	12471
248	20443	12397
249	20512	12307
250	20593	12224
251	20678	12144
252	20747	12055
253	20824	11969
254	20905	11887
255	20978	11800
256	21055	11715
257	21136	11632
258	21233	11559
259	21315	11477
260	21389	11391
261	21460	11303
262	21543	11222
263	21627	11141
264	21704	11057
265	21784	10973
266	21868	10893
267	21942	10807
268	22019	10723
269	22086	10634
270	22166	10551
271	22245	10468
272	22329	10387
273	22406	10303
274	22496	10225
275	22575	10142
276	22658	10061
277	22744	9981
278	22826	9899
279	22897	9813
280	22981	9732
281	23056	9647
282	23136	9565
283	23208	9479
284	23290	9397
285	23362	9312
286	23443	9230
287	23525	9148
288	23620	9072
289	23699	8989
290	23777	8906
291	23852	8822
292	23927	8738
293	24007	8655
294	24092	8575
295	24174	8493
296	24252	8410
297	24325	8326
298	24400	8242
299	24486	8162
300	24561	8078
301	24646	7997
302	24723	7914
303	24803	7832
304	24897	7754
305	24990	7676
306	25088	7600
307	25165	7516
308	25251	7436
309	25332	7354
310	25413	7272
311	25503	7193
312	25614	7119
313	25689	7035
314	25769	6953
315	25851	6872
316	25924	6787
317	25999	6704
318	26077	6621
319	26155	6538
320	26229	6455
321	26320	6375
322	26428	6300
323	26516	6219
324	26606	6139
325	26694	6059
326	26773	5976
327	26852	5894
328	26944	5814
329	27035	5734
330	27126	5654
331	27210	5573
332	27288	5490
333	27366	5407
334	27446	5325
335	27519	5241
336	27620	5163
337	27707	5082
338	27781	4999
339	27849	4914
340	27926	4831
341	28007	4749
342	28085	4667
343	28156	4583
344	28251	4503
345	28323	4420
346	28407	4338
347	28490	4257
348	28561	4173
349	28647	4092
350	28726	4010
351	28804	3927
352	28900	3847
353	28967	3764
354	29047	3682
355	29129	3600
356	29206	3517
357	29283	3435
358	29361	3353
359	29444	3271
360	29511	3188
361	29587	3105
362	29659	3023
363	29736	2941
364	29823	2859
365	29896	2777
366	29968	2694
367	30034	2611
368	30114	2529
369	30182	2447
370	30257	2365
371	30339	2283
372	30412	2201
373	30490	2119
374	30567	2037
375	30638	1955
376	30722	1874
377	30815	1793
378	30892	1711
379	30958	1629
380	31033	1547
381	31107	1465
382	31182	1384
383	31251	1302
384	31349	1221
385	31414	1139
386	31508	1058
387	31587	976
388	31669	895
389	31753	814
390	31831	732
391	31904	651
392	31981	569
393	32048	488
394	32118	406
395	32194	325
396	32279	243
397	32363	162
398	32452	81
399	32526	0
